HSA_CODE,HSA_NAME,HSA_NAME_FORMATTED,ZONE_CODE,ZONE_NAME,FY,INC_RT,lower95,upper95
HSA4.1.C,EDMONTON - JASPER PLACE,Edmonton - Jasper Place,Z4,EDMONTON,2020,24.2,10.5,37.9
HSA4.1.C,EDMONTON - JASPER PLACE,Edmonton - Jasper Place,Z4,EDMONTON,2019,26.6,12.1,41
HSA4.1.C,EDMONTON - JASPER PLACE,Edmonton - Jasper Place,Z4,EDMONTON,2018,22.8,9.3,36.3
HSA4.1.C,EDMONTON - JASPER PLACE,Edmonton - Jasper Place,Z4,EDMONTON,2017,23.1,9.4,36.7
HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,All,32.8,27.7,37.9
HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,2019,36.3,24.5,48.2
HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,2020,30.7,19.9,41.6
HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,2018,27.7,17.3,38.2
HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,2017,37.8,25.4,50.1
HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,2016,31.4,20,42.9
HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2018,42.3,26.9,57.7
HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,All,33.1,27,39.2
HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2020,31.2,18.2,44.3
HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2019,44.6,28.9,60.3
HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2017,19.3,8.8,29.8
HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2016,27.5,14.8,40.3
HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,All,32,26.5,37.4
HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2020,32.3,20.1,44.5
HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2019,38.7,25.3,52.1
HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2018,29.3,17.6,41
HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2017,32,19.7,44.4
HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2016,27.4,15.9,38.8
HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2020,29,16.9,41.2
HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,All,22.8,17.9,27.6
HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2019,28,16,39.9
HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2018,17.5,8,27
HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2017,23,12,33.9
HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2016,16.2,7,25.3
HSA4.2.DE,EDMONTON - ABBOTTSFIELD/NE,Edmonton - Abbottsfield/NE,Z4,EDMONTON,All,35.2,30,40.3
HSA4.2.DE,EDMONTON - ABBOTTSFIELD/NE,Edmonton - Abbottsfield/NE,Z4,EDMONTON,2019,38.3,26.2,50.3
HSA4.2.DE,EDMONTON - ABBOTTSFIELD/NE,Edmonton - Abbottsfield/NE,Z4,EDMONTON,2020,39.8,27.6,52
HSA4.2.DE,EDMONTON - ABBOTTSFIELD/NE,Edmonton - Abbottsfield/NE,Z4,EDMONTON,2018,36.7,24.8,48.5
HSA4.2.DE,EDMONTON - ABBOTTSFIELD/NE,Edmonton - Abbottsfield/NE,Z4,EDMONTON,2017,35.1,23.5,46.7
HSA4.2.DE,EDMONTON - ABBOTTSFIELD/NE,Edmonton - Abbottsfield/NE,Z4,EDMONTON,2016,25.5,15.5,35.5
HSA4.3.A,EDMONTON - BONNIE DOON,Edmonton - Bonnie Doon,Z4,EDMONTON,All,34.9,29.7,40.2
HSA4.3.A,EDMONTON - BONNIE DOON,Edmonton - Bonnie Doon,Z4,EDMONTON,2020,33.1,21.8,44.4
HSA4.3.A,EDMONTON - BONNIE DOON,Edmonton - Bonnie Doon,Z4,EDMONTON,2019,51.6,37.5,65.8
HSA4.3.A,EDMONTON - BONNIE DOON,Edmonton - Bonnie Doon,Z4,EDMONTON,2018,35.7,23.9,47.5
HSA4.3.A,EDMONTON - BONNIE DOON,Edmonton - Bonnie Doon,Z4,EDMONTON,2017,29.7,18.9,40.5
HSA4.3.A,EDMONTON - BONNIE DOON,Edmonton - Bonnie Doon,Z4,EDMONTON,2016,24.5,14.7,34.3
HSA4.3.B,EDMONTON - MILL WOODS WEST,Edmonton - Mill Woods West,Z4,EDMONTON,All,41.3,33.5,49.1
HSA4.3.B,EDMONTON - MILL WOODS WEST,Edmonton - Mill Woods West,Z4,EDMONTON,2020,57.5,36.9,78.1
HSA4.3.B,EDMONTON - MILL WOODS WEST,Edmonton - Mill Woods West,Z4,EDMONTON,2019,49.9,30.7,69
HSA4.3.B,EDMONTON - MILL WOODS WEST,Edmonton - Mill Woods West,Z4,EDMONTON,2018,32.6,17.1,48
HSA4.3.B,EDMONTON - MILL WOODS WEST,Edmonton - Mill Woods West,Z4,EDMONTON,2017,38.3,21.5,55
HSA4.3.B,EDMONTON - MILL WOODS WEST,Edmonton - Mill Woods West,Z4,EDMONTON,2016,28.4,14,42.7
HSA4.3.C,EDMONTON - MILL WOODS SOUTH & EAST,Edmonton - Mill Woods South & East,Z4,EDMONTON,All,62.6,54.8,70.5
HSA4.3.C,EDMONTON - MILL WOODS SOUTH & EAST,Edmonton - Mill Woods South & East,Z4,EDMONTON,2020,64.7,47.3,82.1
HSA4.3.C,EDMONTON - MILL WOODS SOUTH & EAST,Edmonton - Mill Woods South & East,Z4,EDMONTON,2019,57.1,40.6,73.6
HSA4.3.C,EDMONTON - MILL WOODS SOUTH & EAST,Edmonton - Mill Woods South & East,Z4,EDMONTON,2018,83.4,63.3,103.6
HSA4.3.C,EDMONTON - MILL WOODS SOUTH & EAST,Edmonton - Mill Woods South & East,Z4,EDMONTON,2017,51.6,35.6,67.6
HSA4.3.C,EDMONTON - MILL WOODS SOUTH & EAST,Edmonton - Mill Woods South & East,Z4,EDMONTON,2016,55.8,38.9,72.7
HSA4.4.A,EDMONTON - DUGGAN,Edmonton - Duggan,Z4,EDMONTON,All,20.7,14.5,26.9
HSA4.4.A,EDMONTON - DUGGAN,Edmonton - Duggan,Z4,EDMONTON,2020,26.6,10.9,42.3
HSA4.4.A,EDMONTON - DUGGAN,Edmonton - Duggan,Z4,EDMONTON,2019,26.6,10.9,42.3
HSA4.4.A,EDMONTON - DUGGAN,Edmonton - Duggan,Z4,EDMONTON,2018,26.6,10.9,42.3
HSA4.4.A,EDMONTON - DUGGAN,Edmonton - Duggan,Z4,EDMONTON,2017,12.1,1.5,22.7
HSA4.4.A,EDMONTON - DUGGAN,Edmonton - Duggan,Z4,EDMONTON,2016,12,1.5,22.5
HSA4.4.B,EDMONTON - TWIN BROOKS,Edmonton - Twin Brooks,Z4,EDMONTON,All,33.4,27.6,39.2
HSA4.4.B,EDMONTON - TWIN BROOKS,Edmonton - Twin Brooks,Z4,EDMONTON,2020,36.8,23.4,50.2
HSA4.4.B,EDMONTON - TWIN BROOKS,Edmonton - Twin Brooks,Z4,EDMONTON,2018,23.5,12.7,34.4
HSA4.4.B,EDMONTON - TWIN BROOKS,Edmonton - Twin Brooks,Z4,EDMONTON,2019,42.5,28,57
HSA4.4.B,EDMONTON - TWIN BROOKS,Edmonton - Twin Brooks,Z4,EDMONTON,2017,29.1,17,41.3
HSA4.4.B,EDMONTON - TWIN BROOKS,Edmonton - Twin Brooks,Z4,EDMONTON,2016,34.6,21.3,47.9
HSA4.4.C,EDMONTON - RUTHERFORD,Edmonton - Rutherford,Z4,EDMONTON,All,39.5,33.7,45.4
HSA4.4.C,EDMONTON - RUTHERFORD,Edmonton - Rutherford,Z4,EDMONTON,2020,47.2,33.7,60.7
HSA4.4.C,EDMONTON - RUTHERFORD,Edmonton - Rutherford,Z4,EDMONTON,2019,40.1,27.4,52.9
HSA4.4.C,EDMONTON - RUTHERFORD,Edmonton - Rutherford,Z4,EDMONTON,2018,26.8,16.1,37.5
HSA4.4.C,EDMONTON - RUTHERFORD,Edmonton - Rutherford,Z4,EDMONTON,2017,48.2,33.2,63.1
HSA4.4.C,EDMONTON - RUTHERFORD,Edmonton - Rutherford,Z4,EDMONTON,2016,34.2,20.8,47.6
HSA4.5.A,STURGEON COUNTY WEST,Sturgeon County West,Z4,EDMONTON,All,41.9,31.6,52.2
HSA4.5.A,STURGEON COUNTY WEST,Sturgeon County West,Z4,EDMONTON,2020,47.3,23.4,71.3
HSA4.5.A,STURGEON COUNTY WEST,Sturgeon County West,Z4,EDMONTON,2019,22.5,5.8,39.2
HSA4.5.A,STURGEON COUNTY WEST,Sturgeon County West,Z4,EDMONTON,2018,65.8,36.9,94.6
HSA4.5.A,STURGEON COUNTY WEST,Sturgeon County West,Z4,EDMONTON,2017,43.6,19.9,67.3
HSA4.5.A,STURGEON COUNTY WEST,Sturgeon County West,Z4,EDMONTON,2016,30.3,10.5,50.1
HSA4.5.B,STURGEON COUNTY EAST & FORT SASKATCHEWAN,Sturgeon County East & Fort Saskatchewan,Z4,EDMONTON,All,48,37.2,58.8
HSA4.5.B,STURGEON COUNTY EAST & FORT SASKATCHEWAN,Sturgeon County East & Fort Saskatchewan,Z4,EDMONTON,2019,46.3,22.8,69.7
HSA4.5.B,STURGEON COUNTY EAST & FORT SASKATCHEWAN,Sturgeon County East & Fort Saskatchewan,Z4,EDMONTON,2020,51.4,26.9,75.8
HSA4.5.B,STURGEON COUNTY EAST & FORT SASKATCHEWAN,Sturgeon County East & Fort Saskatchewan,Z4,EDMONTON,2018,56.7,30.5,82.9
HSA4.5.B,STURGEON COUNTY EAST & FORT SASKATCHEWAN,Sturgeon County East & Fort Saskatchewan,Z4,EDMONTON,2017,54.8,28.8,80.9
HSA4.5.B,STURGEON COUNTY EAST & FORT SASKATCHEWAN,Sturgeon County East & Fort Saskatchewan,Z4,EDMONTON,2016,29.9,10.4,49.4
HSA4.6,SHERWOOD PARK/STRATHCONA COUNTY,Sherwood Park/Strathcona County,Z4,EDMONTON,All,50.1,43.8,56.3
HSA4.6,SHERWOOD PARK/STRATHCONA COUNTY,Sherwood Park/Strathcona County,Z4,EDMONTON,2020,57.9,43,72.9
HSA4.6,SHERWOOD PARK/STRATHCONA COUNTY,Sherwood Park/Strathcona County,Z4,EDMONTON,2019,56.4,41.6,71.1
HSA4.6,SHERWOOD PARK/STRATHCONA COUNTY,Sherwood Park/Strathcona County,Z4,EDMONTON,2018,52.7,38.4,67
HSA4.6,SHERWOOD PARK/STRATHCONA COUNTY,Sherwood Park/Strathcona County,Z4,EDMONTON,2017,43.9,30.8,57
HSA4.6,SHERWOOD PARK/STRATHCONA COUNTY,Sherwood Park/Strathcona County,Z4,EDMONTON,2016,39,26.6,51.4
HSA4.7,LEDUC COUNTY,Leduc County,Z4,EDMONTON,All,35.4,29.4,41.5
HSA4.7,LEDUC COUNTY,Leduc County,Z4,EDMONTON,2020,39.5,25.6,53.5
HSA4.7,LEDUC COUNTY,Leduc County,Z4,EDMONTON,2019,40.4,26.2,54.6
HSA4.7,LEDUC COUNTY,Leduc County,Z4,EDMONTON,2018,32,19.2,44.7
HSA4.7,LEDUC COUNTY,Leduc County,Z4,EDMONTON,2017,27.3,15.3,39.2
HSA4.7,LEDUC COUNTY,Leduc County,Z4,EDMONTON,2016,37.7,23.5,52
HSA4.8.A,STONY PLAIN & SPRUCE GROVE,Stony Plain & Spruce Grove,Z4,EDMONTON,All,42.2,34.7,49.6
HSA4.8.A,STONY PLAIN & SPRUCE GROVE,Stony Plain & Spruce Grove,Z4,EDMONTON,2020,38.9,23,54.8
HSA4.8.A,STONY PLAIN & SPRUCE GROVE,Stony Plain & Spruce Grove,Z4,EDMONTON,2019,37.8,22,53.6
HSA4.8.A,STONY PLAIN & SPRUCE GROVE,Stony Plain & Spruce Grove,Z4,EDMONTON,2018,40.2,23.8,56.6
HSA4.8.A,STONY PLAIN & SPRUCE GROVE,Stony Plain & Spruce Grove,Z4,EDMONTON,2017,45.3,27.9,62.7
HSA4.8.A,STONY PLAIN & SPRUCE GROVE,Stony Plain & Spruce Grove,Z4,EDMONTON,2016,48.6,30.9,66.3
HSA4.8.B,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,Westview excluding Stony Plain & Spruce Grove,Z4,EDMONTON,All,33.9,25.2,42.6
HSA4.8.B,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,Westview excluding Stony Plain & Spruce Grove,Z4,EDMONTON,2019,16.6,3.3,29.9
HSA4.8.B,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,Westview excluding Stony Plain & Spruce Grove,Z4,EDMONTON,2020,38.2,18.2,58.3
HSA4.8.B,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,Westview excluding Stony Plain & Spruce Grove,Z4,EDMONTON,2018,39.3,18.7,59.9
HSA4.8.B,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,Westview excluding Stony Plain & Spruce Grove,Z4,EDMONTON,2017,29.7,11.3,48.1
HSA4.8.B,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,Westview excluding Stony Plain & Spruce Grove,Z4,EDMONTON,2016,47.8,22.8,72.9
HSA4.9,ST. ALBERT,St. Albert,Z4,EDMONTON,All,43.5,36.5,50.5
HSA4.9,ST. ALBERT,St. Albert,Z4,EDMONTON,2020,43.8,28.1,59.5
HSA4.9,ST. ALBERT,St. Albert,Z4,EDMONTON,2019,30.8,17.6,43.9
HSA4.9,ST. ALBERT,St. Albert,Z4,EDMONTON,2018,49.9,33.1,66.7
HSA4.9,ST. ALBERT,St. Albert,Z4,EDMONTON,2017,42.7,27.2,58.2
HSA4.9,ST. ALBERT,St. Albert,Z4,EDMONTON,2016,50.3,33.4,67.2
HSA5.1,NORTH ZONE - SW,North Zone - SW,Z5,NORTH,All,32.8,27.7,37.9
HSA5.1,NORTH ZONE - SW,North Zone - SW,Z5,NORTH,2020,35,23.2,46.7
HSA5.1,NORTH ZONE - SW,North Zone - SW,Z5,NORTH,2019,27.9,17.3,38.4
HSA5.1,NORTH ZONE - SW,North Zone - SW,Z5,NORTH,2018,37.2,25.1,49.4
HSA5.1,NORTH ZONE - SW,North Zone - SW,Z5,NORTH,2017,28.9,18.2,39.7
HSA5.1,NORTH ZONE - SW,North Zone - SW,Z5,NORTH,2016,35,23.3,46.8
HSA5.2,NORTH ZONE - SE,North Zone - SE,Z5,NORTH,All,22.5,18.1,26.9
HSA5.2,NORTH ZONE - SE,North Zone - SE,Z5,NORTH,2020,23.5,13.5,33.6
HSA5.2,NORTH ZONE - SE,North Zone - SE,Z5,NORTH,2019,28.1,17.1,39.1
HSA5.2,NORTH ZONE - SE,North Zone - SE,Z5,NORTH,2018,18,9.2,26.9
HSA5.2,NORTH ZONE - SE,North Zone - SE,Z5,NORTH,2017,22.6,12.7,32.5
HSA5.2,NORTH ZONE - SE,North Zone - SE,Z5,NORTH,2016,20.2,10.9,29.6
HSA5.3,NORTH ZONE - CENTRAL WEST,North Zone - Central West,Z5,NORTH,All,19.3,13.6,25
HSA5.3,NORTH ZONE - CENTRAL WEST,North Zone - Central West,Z5,NORTH,2020,23.3,9.5,37.1
HSA5.3,NORTH ZONE - CENTRAL WEST,North Zone - Central West,Z5,NORTH,2019,23.7,9.7,37.8
HSA5.3,NORTH ZONE - CENTRAL WEST,North Zone - Central West,Z5,NORTH,2018,17.6,5.4,29.8
HSA5.3,NORTH ZONE - CENTRAL WEST,North Zone - Central West,Z5,NORTH,2017,8.9,0.2,17.7
HSA5.3,NORTH ZONE - CENTRAL WEST,North Zone - Central West,Z5,NORTH,2016,22.5,8.5,36.4
HSA5.4,NORTH ZONE - NW,North Zone - NW,Z5,NORTH,All,16.5,12.8,20.1
HSA5.4,NORTH ZONE - NW,North Zone - NW,Z5,NORTH,2020,17.9,9.4,26.5
HSA5.4,NORTH ZONE - NW,North Zone - NW,Z5,NORTH,2019,20.1,11,29.1
HSA5.4,NORTH ZONE - NW,North Zone - NW,Z5,NORTH,2018,15.8,7.8,23.9
HSA5.4,NORTH ZONE - NW,North Zone - NW,Z5,NORTH,2017,14.8,7,22.5
HSA5.4,NORTH ZONE - NW,North Zone - NW,Z5,NORTH,2016,13.8,6.3,21.3
HSA5.5,NORTH ZONE - NE,North Zone - NE,Z5,NORTH,All,19,0.4,37.5
HSA5.5,NORTH ZONE - NE,North Zone - NE,Z5,NORTH,2020,0,0,0
HSA5.5,NORTH ZONE - NE,North Zone - NE,Z5,NORTH,2019,0,0,0
HSA5.5,NORTH ZONE - NE,North Zone - NE,Z5,NORTH,2018,71.6,0,152.6
HSA5.5,NORTH ZONE - NE,North Zone - NE,Z5,NORTH,2017,23.8,0,70.3
HSA5.5,NORTH ZONE - NE,North Zone - NE,Z5,NORTH,2016,0,0,0
HSA5.6,FORT MCMURRAY,Fort McMurray,Z5,NORTH,All,38.7,32.6,44.9
HSA5.6,FORT MCMURRAY,Fort McMurray,Z5,NORTH,2020,46.6,31.6,61.6
HSA5.6,FORT MCMURRAY,Fort McMurray,Z5,NORTH,2019,33.1,20.4,45.8
HSA5.6,FORT MCMURRAY,Fort McMurray,Z5,NORTH,2018,32,19.5,44.5
HSA5.6,FORT MCMURRAY,Fort McMurray,Z5,NORTH,2017,45.8,30.8,60.8
HSA5.6,FORT MCMURRAY,Fort McMurray,Z5,NORTH,2016,36.1,22.9,49.2
HSA5.7,CITY OF GRANDE PRAIRIE,City of Grande Prairie,Z5,NORTH,2020,29.3,17,41.5
HSA5.7,CITY OF GRANDE PRAIRIE,City of Grande Prairie,Z5,NORTH,2019,25.6,14.1,37.1
HSA5.7,CITY OF GRANDE PRAIRIE,City of Grande Prairie,Z5,NORTH,2018,25.8,14.2,37.5
HSA5.7,CITY OF GRANDE PRAIRIE,City of Grande Prairie,Z5,NORTH,2017,28.8,16.5,41.1
HSA5.7,CITY OF GRANDE PRAIRIE,City of Grande Prairie,Z5,NORTH,2016,9.6,2.5,16.7
HSA5.7,CITY OF GRANDE PRAIRIE,City of Grande Prairie,Z5,NORTH,All,23.9,18.9,28.8
